[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 6-7 | LINE: 34 | TS_NS: 13952830335020
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 6-7 | LINE: 36 | TS_NS: 13952830363488
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 7-6 | LINE: 36 | TS_NS: 13952830370588
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 6-7 | LINE: 36 | TS_NS: 13952830391977
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 7-6 | LINE: 36 | TS_NS: 13952830410916
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 6-8 | LINE: 34 | TS_NS: 13952830421932
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 6-8 | LINE: 36 | TS_NS: 13952830424140
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-7 | LINE: 34 | TS_NS: 13952830427391
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-7 | LINE: 36 | TS_NS: 13952830431725
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 7-9 | LINE: 34 | TS_NS: 13952830432492
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 7-6 | LINE: 34 | TS_NS: 13952830434328
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 7-9 | LINE: 36 | TS_NS: 13952830436656
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830438305
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 34 | TS_NS: 13952830439693
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830440431
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 13952830441857
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 6-9 | LINE: 34 | TS_NS: 13952830448382
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 13952830449958
